Device Name,Group,IMEI-1,IMEI-2,Serial Number,Date (UTC),Time (UTC),Battery (%),Charging
Redmi12,yacine,"","",unknown,08-May-2024,12:11:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,12:26:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,12:41:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,12:56:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,01:11:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,01:26:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,01:41:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,01:56:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,02:11:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,02:26:15 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,02:41:16 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,02:56:16 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,03:11:16 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,03:26:16 AM,99,false
Redmi12,yacine,"","",unknown,08-May-2024,03:41:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,03:56:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,04:11:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,04:26:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,04:41:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,04:56:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,05:11:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,05:26:16 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,05:41:17 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,05:56:17 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,06:11:17 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,06:26:17 AM,98,false
Redmi12,yacine,"","",unknown,08-May-2024,06:41:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,06:56:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,07:11:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,07:26:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,07:41:17 AM,97,false
Redmi12,yacine,"","",unknown,08-May-2024,07:56:17 AM,97,false
