Device Name,Group,IMEI-1,IMEI-2,Serial Number,Date (UTC),Time (UTC),Battery (%),Charging
Redmi12,yacine,"","",unknown,06-May-2024,12:00:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,12:15:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,12:30:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,12:45:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,01:00:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,01:15:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,01:30:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,01:45:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,02:00:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,02:15:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,02:30:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,02:45:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,03:00:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,03:15:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,03:30:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,03:45:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,04:00:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,04:15:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,04:30:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,04:45:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,05:00:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,05:15:37 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,05:30:37 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,05:45:37 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,06:00:37 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,06:15:37 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,06:30:38 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,06:45:38 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,07:00:38 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,07:15:38 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,07:30:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,07:45:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,08:00:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,08:15:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,08:30:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,08:45:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,09:00:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,09:15:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,09:30:39 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,09:45:39 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,10:00:39 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,10:15:39 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,10:30:39 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,10:45:39 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:00:39 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:15:39 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:29:26 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:29:29 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:44:29 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:59:29 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,12:14:29 PM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,12:29:29 PM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,12:44:29 PM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,12:59:29 PM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,01:14:29 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,01:29:29 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,01:44:29 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,01:59:29 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,02:14:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,02:29:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,02:44:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,02:59:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,03:14:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,03:29:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,03:31:21 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,03:46:21 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,04:01:21 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,04:16:21 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,04:31:21 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,04:46:21 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,05:01:22 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,05:16:22 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,05:31:22 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,05:46:22 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,06:01:22 PM,63,false
Redmi12,yacine,"","",unknown,06-May-2024,06:16:22 PM,63,false
Redmi12,yacine,"","",unknown,06-May-2024,06:31:22 PM,63,false
Redmi12,yacine,"","",unknown,06-May-2024,06:46:22 PM,63,false
