Device Name,Group,IMEI-1,IMEI-2,Serial Number,Date (UTC),Time (UTC),Battery (%),Charging
QS_kiosk-03,yacine,"","",unknown,04-May-2024,12:16:11 AM,69,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,12:32:17 AM,69,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,12:48:26 AM,69,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,01:54:45 AM,68,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,03:05:13 AM,68,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,03:55:15 AM,68,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,07:56:07 AM,67,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,10:00:15 AM,66,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,10:00:34 AM,66,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,10:15:34 AM,64,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,10:30:34 AM,62,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,10:45:35 AM,60,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,11:00:35 AM,58,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,11:15:35 AM,57,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,11:30:35 AM,55,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,11:45:35 AM,54,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,12:00:35 PM,52,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,12:15:35 PM,51,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,12:30:35 PM,50,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,12:45:36 PM,49,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,01:00:36 PM,49,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,01:15:36 PM,48,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,01:30:36 PM,47,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,01:45:36 PM,46,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,02:00:36 PM,45,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,02:15:36 PM,43,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,02:30:36 PM,42,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,02:45:36 PM,41,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,03:00:36 PM,39,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,03:15:37 PM,38,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,03:30:37 PM,37,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,03:45:37 PM,36,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,04:00:37 PM,35,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,04:02:36 PM,34,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,04:25:45 PM,34,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,04:41:52 PM,34,false
QS_kiosk-03,yacine,"","",unknown,04-May-2024,04:58:16 PM,34,false
