Device Name,Group,IMEI-1,IMEI-2,Serial Number,Date (UTC),Time (UTC),Battery (%),Charging
QS_kiosk-03,yacine,"","",unknown,02-May-2024,01:28:05 PM,43,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,01:29:25 PM,43,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,01:40:43 PM,42,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,01:55:43 PM,41,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,02:07:23 PM,41,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,02:07:27 PM,41,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,02:22:27 PM,41,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,02:37:27 PM,41,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,02:52:28 PM,41,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,03:07:28 PM,41,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,04:52:11 PM,47,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,05:07:11 PM,47,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,05:22:12 PM,47,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,05:37:12 PM,47,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,05:52:12 PM,46,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,06:05:31 PM,46,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,06:20:31 PM,46,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,06:35:31 PM,46,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,06:50:31 PM,46,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,07:05:31 PM,46,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,07:20:32 PM,46,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,07:35:32 PM,46,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,07:50:32 PM,46,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,08:05:32 PM,46,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,08:20:32 PM,46,false
QS_kiosk-03,yacine,"","",unknown,02-May-2024,08:35:32 PM,46,false
