Device Name,Group,IMEI-1,IMEI-2,Serial Number,Date (UTC),Time (UTC),Battery (%),Charging
Redmi12,yacine,"","",unknown,05-May-2024,12:14:09 AM,33,false
Redmi12,yacine,"","",unknown,05-May-2024,12:29:09 AM,33,false
Redmi12,yacine,"","",unknown,05-May-2024,12:44:09 AM,33,false
Redmi12,yacine,"","",unknown,05-May-2024,12:59:09 AM,33,false
Redmi12,yacine,"","",unknown,05-May-2024,01:14:09 AM,33,false
Redmi12,yacine,"","",unknown,05-May-2024,01:29:09 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,01:44:09 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,01:59:09 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,02:14:09 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,02:29:09 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,02:44:10 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,02:59:10 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,03:14:10 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,03:29:10 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,03:44:10 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,03:59:10 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,04:14:10 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,04:29:10 AM,32,false
Redmi12,yacine,"","",unknown,05-May-2024,04:44:10 AM,31,false
Redmi12,yacine,"","",unknown,05-May-2024,04:59:10 AM,31,false
Redmi12,yacine,"","",unknown,05-May-2024,05:14:10 AM,31,false
Redmi12,yacine,"","",unknown,05-May-2024,05:29:10 AM,31,false
Redmi12,yacine,"","",unknown,05-May-2024,05:44:10 AM,31,false
Redmi12,yacine,"","",unknown,05-May-2024,05:59:10 AM,31,false
Redmi12,yacine,"","",unknown,05-May-2024,06:14:11 AM,31,false
Redmi12,yacine,"","",unknown,05-May-2024,06:29:11 AM,31,false
Redmi12,yacine,"","",unknown,05-May-2024,06:44:11 AM,31,false
Redmi12,yacine,"","",unknown,05-May-2024,06:59:11 AM,31,false
Redmi12,yacine,"","",unknown,05-May-2024,07:14:11 AM,31,false
Redmi12,yacine,"","",unknown,05-May-2024,07:29:11 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,07:44:11 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,07:59:11 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,08:14:11 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,08:29:11 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,08:44:11 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,08:59:11 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,09:14:11 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,09:29:12 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,09:44:12 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,09:59:12 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,10:14:12 AM,30,false
Redmi12,yacine,"","",unknown,05-May-2024,10:29:12 AM,48,true
Redmi12,yacine,"","",unknown,05-May-2024,10:44:12 AM,78,true
Redmi12,yacine,"","",unknown,05-May-2024,10:59:12 AM,98,true
Redmi12,yacine,"","",unknown,05-May-2024,11:14:12 AM,100,true
Redmi12,yacine,"","",unknown,05-May-2024,11:29:12 AM,100,false
Redmi12,yacine,"","",unknown,05-May-2024,11:44:41 AM,100,false
Redmi12,yacine,"","",unknown,05-May-2024,11:59:42 AM,100,false
Redmi12,yacine,"","",unknown,05-May-2024,12:24:42 PM,100,false
Redmi12,yacine,"","",unknown,05-May-2024,12:40:49 PM,100,false
Redmi12,yacine,"","",unknown,05-May-2024,01:01:13 PM,100,false
Redmi12,yacine,"","",unknown,05-May-2024,02:03:17 PM,100,false
Redmi12,yacine,"","",unknown,05-May-2024,04:04:20 PM,99,false
Redmi12,yacine,"","",unknown,05-May-2024,04:20:11 PM,99,false
Redmi12,yacine,"","",unknown,05-May-2024,05:13:33 PM,99,false
Redmi12,yacine,"","",unknown,05-May-2024,05:13:38 PM,99,false
Redmi12,yacine,"","",unknown,05-May-2024,05:28:38 PM,99,false
Redmi12,yacine,"","",unknown,05-May-2024,05:43:38 PM,97,false
Redmi12,yacine,"","",unknown,05-May-2024,05:58:39 PM,96,false
Redmi12,yacine,"","",unknown,05-May-2024,06:13:39 PM,95,false
Redmi12,yacine,"","",unknown,05-May-2024,06:28:39 PM,93,false
Redmi12,yacine,"","",unknown,05-May-2024,06:43:39 PM,92,false
Redmi12,yacine,"","",unknown,05-May-2024,06:58:39 PM,90,false
Redmi12,yacine,"","",unknown,05-May-2024,07:13:39 PM,89,false
Redmi12,yacine,"","",unknown,05-May-2024,07:28:39 PM,88,false
Redmi12,yacine,"","",unknown,05-May-2024,07:43:39 PM,86,false
Redmi12,yacine,"","",unknown,05-May-2024,07:58:39 PM,85,false
Redmi12,yacine,"","",unknown,05-May-2024,08:13:39 PM,83,false
Redmi12,yacine,"","",unknown,05-May-2024,08:28:39 PM,82,false
Redmi12,yacine,"","",unknown,05-May-2024,08:43:40 PM,81,false
Redmi12,yacine,"","",unknown,05-May-2024,08:58:40 PM,79,false
Redmi12,yacine,"","",unknown,05-May-2024,09:13:40 PM,78,false
Redmi12,yacine,"","",unknown,05-May-2024,09:28:40 PM,76,false
Redmi12,yacine,"","",unknown,05-May-2024,09:43:40 PM,75,false
Redmi12,yacine,"","",unknown,05-May-2024,09:58:40 PM,74,false
Redmi12,yacine,"","",unknown,05-May-2024,10:13:40 PM,73,false
Redmi12,yacine,"","",unknown,05-May-2024,10:28:40 PM,72,false
Redmi12,yacine,"","",unknown,05-May-2024,10:35:12 PM,71,false
Redmi12,yacine,"","",unknown,05-May-2024,10:59:29 PM,71,false
Redmi12,yacine,"","",unknown,05-May-2024,11:15:35 PM,71,false
Redmi12,yacine,"","",unknown,05-May-2024,11:30:35 PM,70,false
Redmi12,yacine,"","",unknown,05-May-2024,11:45:35 PM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,12:00:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,12:15:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,12:30:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,12:45:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,01:00:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,01:15:36 AM,70,false
Redmi12,yacine,"","",unknown,06-May-2024,01:30:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,01:45:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,02:00:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,02:15:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,02:30:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,02:45:36 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,03:00:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,03:15:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,03:30:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,03:45:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,04:00:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,04:15:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,04:30:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,04:45:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,05:00:37 AM,69,false
Redmi12,yacine,"","",unknown,06-May-2024,05:15:37 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,05:30:37 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,05:45:37 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,06:00:37 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,06:15:37 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,06:30:38 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,06:45:38 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,07:00:38 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,07:15:38 AM,68,false
Redmi12,yacine,"","",unknown,06-May-2024,07:30:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,07:45:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,08:00:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,08:15:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,08:30:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,08:45:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,09:00:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,09:15:38 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,09:30:39 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,09:45:39 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,10:00:39 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,10:15:39 AM,67,false
Redmi12,yacine,"","",unknown,06-May-2024,10:30:39 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,10:45:39 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:00:39 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:15:39 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:29:26 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:29:29 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:44:29 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,11:59:29 AM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,12:14:29 PM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,12:29:29 PM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,12:44:29 PM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,12:59:29 PM,66,false
Redmi12,yacine,"","",unknown,06-May-2024,01:14:29 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,01:29:29 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,01:44:29 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,01:59:29 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,02:14:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,02:29:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,02:44:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,02:59:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,03:14:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,03:29:30 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,03:31:21 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,03:46:21 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,04:01:21 PM,65,false
Redmi12,yacine,"","",unknown,06-May-2024,04:16:21 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,04:31:21 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,04:46:21 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,05:01:22 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,05:16:22 PM,64,false
Redmi12,yacine,"","",unknown,06-May-2024,05:31:22 PM,64,false
