Device Name,Group,IMEI-1,IMEI-2,Serial Number,Date (UTC),Time (UTC),Battery (%),Charging
Redmi12,yacine,"","",unknown,09-May-2024,12:11:23 AM,88,false
Redmi12,yacine,"","",unknown,09-May-2024,12:26:23 AM,88,false
Redmi12,yacine,"","",unknown,09-May-2024,12:41:23 AM,88,false
Redmi12,yacine,"","",unknown,09-May-2024,12:56:24 AM,88,false
Redmi12,yacine,"","",unknown,09-May-2024,01:11:24 AM,88,false
Redmi12,yacine,"","",unknown,09-May-2024,01:26:24 AM,88,false
Redmi12,yacine,"","",unknown,09-May-2024,01:41:24 AM,88,false
Redmi12,yacine,"","",unknown,09-May-2024,01:56:24 AM,87,false
Redmi12,yacine,"","",unknown,09-May-2024,02:11:24 AM,87,false
Redmi12,yacine,"","",unknown,09-May-2024,02:26:24 AM,87,false
Redmi12,yacine,"","",unknown,09-May-2024,02:41:24 AM,87,false
Redmi12,yacine,"","",unknown,09-May-2024,02:56:24 AM,87,false
Redmi12,yacine,"","",unknown,09-May-2024,03:11:24 AM,87,false
Redmi12,yacine,"","",unknown,09-May-2024,03:26:25 AM,86,false
Redmi12,yacine,"","",unknown,09-May-2024,03:41:25 AM,86,false
Redmi12,yacine,"","",unknown,09-May-2024,03:56:25 AM,86,false
Redmi12,yacine,"","",unknown,09-May-2024,04:11:25 AM,86,false
Redmi12,yacine,"","",unknown,09-May-2024,04:26:25 AM,86,false
Redmi12,yacine,"","",unknown,09-May-2024,04:41:25 AM,86,false
Redmi12,yacine,"","",unknown,09-May-2024,04:56:25 AM,86,false
Redmi12,yacine,"","",unknown,09-May-2024,05:11:25 AM,86,false
Redmi12,yacine,"","",unknown,09-May-2024,05:26:25 AM,86,false
Redmi12,yacine,"","",unknown,09-May-2024,05:41:25 AM,85,false
Redmi12,yacine,"","",unknown,09-May-2024,05:56:25 AM,85,false
Redmi12,yacine,"","",unknown,09-May-2024,06:11:25 AM,85,false
Redmi12,yacine,"","",unknown,09-May-2024,06:26:26 AM,85,false
Redmi12,yacine,"","",unknown,09-May-2024,06:41:26 AM,85,false
Redmi12,yacine,"","",unknown,09-May-2024,06:56:26 AM,85,false
Redmi12,yacine,"","",unknown,09-May-2024,07:11:26 AM,85,false
Redmi12,yacine,"","",unknown,09-May-2024,07:26:26 AM,85,false
Redmi12,yacine,"","",unknown,09-May-2024,07:41:26 AM,84,false
Redmi12,yacine,"","",unknown,09-May-2024,07:56:26 AM,84,false
Redmi12,yacine,"","",unknown,09-May-2024,08:11:26 AM,84,false
Redmi12,yacine,"","",unknown,09-May-2024,08:26:26 AM,84,false
Redmi12,yacine,"","",unknown,09-May-2024,08:41:26 AM,84,false
Redmi12,yacine,"","",unknown,09-May-2024,08:56:26 AM,84,false
Redmi12,yacine,"","",unknown,09-May-2024,09:11:27 AM,84,false
Redmi12,yacine,"","",unknown,09-May-2024,09:26:27 AM,83,false
Redmi12,yacine,"","",unknown,09-May-2024,09:41:27 AM,83,false
Redmi12,yacine,"","",unknown,09-May-2024,09:56:27 AM,83,false
Redmi12,yacine,"","",unknown,09-May-2024,10:11:27 AM,83,false
Redmi12,yacine,"","",unknown,09-May-2024,10:26:27 AM,83,false
Redmi12,yacine,"","",unknown,09-May-2024,10:41:27 AM,83,false
Redmi12,yacine,"","",unknown,09-May-2024,10:56:27 AM,83,false
Redmi12,yacine,"","",unknown,09-May-2024,11:11:27 AM,83,false
Redmi12,yacine,"","",unknown,09-May-2024,11:26:27 AM,83,false
Redmi12,yacine,"","",unknown,09-May-2024,11:41:27 AM,82,false
Redmi12,yacine,"","",unknown,09-May-2024,11:56:28 AM,82,false
Redmi12,yacine,"","",unknown,09-May-2024,12:11:28 PM,82,false
Redmi12,yacine,"","",unknown,09-May-2024,12:26:28 PM,82,false
Redmi12,yacine,"","",unknown,09-May-2024,12:41:28 PM,82,false
Redmi12,yacine,"","",unknown,09-May-2024,12:56:28 PM,82,false
Redmi12,yacine,"","",unknown,09-May-2024,01:11:28 PM,82,false
Redmi12,yacine,"","",unknown,09-May-2024,01:26:28 PM,82,false
Redmi12,yacine,"","",unknown,09-May-2024,01:41:28 PM,82,false
Redmi12,yacine,"","",unknown,09-May-2024,01:56:28 PM,82,false
Redmi12,yacine,"","",unknown,09-May-2024,02:11:28 PM,82,false
Redmi12,yacine,"","",unknown,09-May-2024,02:26:28 PM,81,false
Redmi12,yacine,"","",unknown,09-May-2024,02:41:28 PM,81,false
Redmi12,yacine,"","",unknown,09-May-2024,02:56:29 PM,81,false
Redmi12,yacine,"","",unknown,09-May-2024,03:11:29 PM,81,false
Redmi12,yacine,"","",unknown,09-May-2024,03:26:29 PM,80,false
Redmi12,yacine,"","",unknown,09-May-2024,03:41:29 PM,80,false
Redmi12,yacine,"","",unknown,09-May-2024,03:56:29 PM,80,false
Redmi12,yacine,"","",unknown,09-May-2024,04:11:29 PM,80,false
Redmi12,yacine,"","",unknown,09-May-2024,04:26:29 PM,80,false
Redmi12,yacine,"","",unknown,09-May-2024,04:41:29 PM,80,false
Redmi12,yacine,"","",unknown,09-May-2024,04:56:29 PM,80,false
Redmi12,yacine,"","",unknown,09-May-2024,05:11:29 PM,79,false
Redmi12,yacine,"","",unknown,09-May-2024,05:26:29 PM,79,false
Redmi12,yacine,"","",unknown,09-May-2024,05:41:30 PM,79,false
Redmi12,yacine,"","",unknown,09-May-2024,05:56:30 PM,79,false
Redmi12,yacine,"","",unknown,09-May-2024,06:11:30 PM,79,false
Redmi12,yacine,"","",unknown,09-May-2024,06:26:30 PM,79,false
Redmi12,yacine,"","",unknown,09-May-2024,06:41:30 PM,79,false
Redmi12,yacine,"","",unknown,09-May-2024,06:56:30 PM,78,false
Redmi12,yacine,"","",unknown,09-May-2024,07:11:30 PM,78,false
Redmi12,yacine,"","",unknown,09-May-2024,07:26:30 PM,78,false
Redmi12,yacine,"","",unknown,09-May-2024,07:41:30 PM,78,false
Redmi12,yacine,"","",unknown,09-May-2024,07:56:30 PM,78,false
Redmi12,yacine,"","",unknown,09-May-2024,08:11:31 PM,78,false
Redmi12,yacine,"","",unknown,09-May-2024,08:26:31 PM,78,false
Redmi12,yacine,"","",unknown,09-May-2024,08:41:31 PM,78,false
Redmi12,yacine,"","",unknown,09-May-2024,08:56:31 PM,78,false
Redmi12,yacine,"","",unknown,09-May-2024,09:11:31 PM,78,false
Redmi12,yacine,"","",unknown,09-May-2024,09:26:31 PM,76,false
Redmi12,yacine,"","",unknown,09-May-2024,09:41:31 PM,74,false
Redmi12,yacine,"","",unknown,09-May-2024,09:56:31 PM,71,false
Redmi12,yacine,"","",unknown,09-May-2024,10:11:31 PM,70,false
Redmi12,yacine,"","",unknown,09-May-2024,10:26:31 PM,69,false
Redmi12,yacine,"","",unknown,09-May-2024,10:41:32 PM,68,false
Redmi12,yacine,"","",unknown,09-May-2024,10:56:32 PM,67,false
Redmi12,yacine,"","",unknown,09-May-2024,11:11:32 PM,67,false
Redmi12,yacine,"","",unknown,09-May-2024,11:26:32 PM,67,false
Redmi12,yacine,"","",unknown,09-May-2024,11:41:32 PM,67,false
Redmi12,yacine,"","",unknown,09-May-2024,11:56:32 PM,66,false
Redmi12,yacine,"","",unknown,10-May-2024,12:11:32 AM,66,false
Redmi12,yacine,"","",unknown,10-May-2024,12:26:32 AM,66,false
Redmi12,yacine,"","",unknown,10-May-2024,12:41:32 AM,66,false
Redmi12,yacine,"","",unknown,10-May-2024,12:56:32 AM,66,false
Redmi12,yacine,"","",unknown,10-May-2024,01:11:33 AM,66,false
Redmi12,yacine,"","",unknown,10-May-2024,01:26:33 AM,66,false
Redmi12,yacine,"","",unknown,10-May-2024,01:41:33 AM,66,false
Redmi12,yacine,"","",unknown,10-May-2024,01:56:33 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,02:11:33 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,02:26:33 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,02:41:33 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,02:56:33 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,03:11:33 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,03:26:33 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,03:41:33 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,03:56:34 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,04:11:34 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,04:26:34 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,04:41:34 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,04:56:34 AM,65,false
Redmi12,yacine,"","",unknown,10-May-2024,05:11:34 AM,64,false
Redmi12,yacine,"","",unknown,10-May-2024,05:26:34 AM,64,false
Redmi12,yacine,"","",unknown,10-May-2024,05:41:34 AM,64,false
Redmi12,yacine,"","",unknown,10-May-2024,05:56:34 AM,64,false
Redmi12,yacine,"","",unknown,10-May-2024,06:11:34 AM,64,false
Redmi12,yacine,"","",unknown,10-May-2024,06:26:34 AM,64,false
Redmi12,yacine,"","",unknown,10-May-2024,06:41:35 AM,64,false
Redmi12,yacine,"","",unknown,10-May-2024,06:56:35 AM,64,false
Redmi12,yacine,"","",unknown,10-May-2024,07:11:35 AM,63,false
Redmi12,yacine,"","",unknown,10-May-2024,07:26:35 AM,60,false
Redmi12,yacine,"","",unknown,10-May-2024,07:41:35 AM,58,false
Redmi12,yacine,"","",unknown,10-May-2024,07:56:35 AM,57,false
Redmi12,yacine,"","",unknown,10-May-2024,08:11:35 AM,55,false
Redmi12,yacine,"","",unknown,10-May-2024,08:26:35 AM,52,false
Redmi12,yacine,"","",unknown,10-May-2024,08:41:35 AM,52,false
Redmi12,yacine,"","",unknown,10-May-2024,08:56:35 AM,51,false
Redmi12,yacine,"","",unknown,10-May-2024,09:11:36 AM,49,false
Redmi12,yacine,"","",unknown,10-May-2024,09:26:36 AM,47,false
Redmi12,yacine,"","",unknown,10-May-2024,09:41:36 AM,46,false
Redmi12,yacine,"","",unknown,10-May-2024,09:56:36 AM,44,false
Redmi12,yacine,"","",unknown,10-May-2024,10:11:36 AM,44,false
Redmi12,yacine,"","",unknown,10-May-2024,10:26:36 AM,44,false
Redmi12,yacine,"","",unknown,10-May-2024,10:41:36 AM,42,false
Redmi12,yacine,"","",unknown,10-May-2024,10:56:36 AM,42,false
Redmi12,yacine,"","",unknown,10-May-2024,11:11:36 AM,42,false
Redmi12,yacine,"","",unknown,10-May-2024,11:26:36 AM,42,false
Redmi12,yacine,"","",unknown,10-May-2024,11:41:36 AM,41,false
Redmi12,yacine,"","",unknown,10-May-2024,11:56:37 AM,40,false
Redmi12,yacine,"","",unknown,10-May-2024,12:11:37 PM,38,false
Redmi12,yacine,"","",unknown,10-May-2024,12:26:37 PM,38,false
Redmi12,yacine,"","",unknown,10-May-2024,12:41:37 PM,38,false
Redmi12,yacine,"","",unknown,10-May-2024,12:56:37 PM,38,false
Redmi12,yacine,"","",unknown,10-May-2024,01:11:37 PM,36,false
Redmi12,yacine,"","",unknown,10-May-2024,01:26:37 PM,35,false
Redmi12,yacine,"","",unknown,10-May-2024,01:41:37 PM,34,false
Redmi12,yacine,"","",unknown,10-May-2024,01:56:37 PM,32,false
Redmi12,yacine,"","",unknown,10-May-2024,02:11:37 PM,31,false
